Bazati,18.3,8.5,4.2,14.1,54.9
"Beer Girl, Growlers & Bottleshop",2.3,0.0,3.4,5.2,89.1
BeetleCat,2.8,2.6,5.1,19.7,69.7
Bench Warmers Sports Grill,4.4,4.4,15.1,29.4,46.7
Benihana,24.5,8.3,12.4,16.8,37.9
Best End Brewing Company,1.3,2.6,2.6,14.4,79.1
Betty's Waffle Emporium,0.0,0.0,0.0,0.0,100.0
Bhojanic Food Truck,0.0,0.0,0.0,0.0,100.0
Big Bang Pizza,9.1,7.0,11.1,16.5,56.3
Big Daddy's Cafe,6.8,3.3,8.3,20.9,60.7
Big Daddy's Kitchen,7.0,5.0,11.0,22.2,54.7
Big Easy Grille,4.5,3.8,8.6,25.1,58.0
Big Kahuna Atlanta,6.5,6.8,16.4,25.6,44.8
Big Nick's Place,15.2,2.2,10.9,23.9,47.8
Big Sky Buckhead,8.7,4.7,10.6,27.4,48.6
Biltong Bar,1.7,5.0,4.2,11.7,77.5
Bistro Niko,2.0,2.1,7.7,19.2,69.0
Blackbird,9.0,4.9,7.4,10.7,68.0
Blackstone Restaurant,0.0,0.0,33.3,0.0,66.7
Blu Cantina,8.0,4.5,12.2,23.6,51.7
Blu Cantina Camp Creek,9.8,4.2,11.2,21.7,53.1
Blu Lagoon Bar and Bistro,13.1,4.0,8.9,17.4,56.6
Blue Frog Cantina,0.0,50.0,0.0,0.0,50.0
Blue Moon Pizza,3.0,4.0,8.7,22.0,62.2
Blue Moon Pizza of Buckhead,4.6,1.9,7.2,18.8,67.6
Bocado,3.7,3.2,6.0,25.5,61.7
BoccaLupo,3.2,1.5,3.7,12.0,79.6
Bojangles,12.8,9.5,13.3,20.7,43.7
Bole Ethiopian Restaurant,6.0,1.8,6.5,13.5,72.2
Bonefish Grill,4.5,3.1,9.6,22.4,60.4
Bones Restaurant,2.7,1.4,2.8,12.5,80.6
Boogalou Restaurant & Lounge,14.7,5.6,11.2,24.9,43.5
Boone's,0.0,14.3,14.3,0.0,71.4
Boston Market,3.3,3.8,10.3,27.2,55.4
Botica,3.6,3.6,6.0,9.6,77.1
Boucanes BBQ,16.0,0.0,8.0,8.0,68.0
Boudreaux's On The Roll,6.5,3.2,8.1,24.2,58.1
Bowlero Atlantic Station,7.5,2.2,10.4,18.7,61.2
Boxcar at Hop City West End,3.3,3.1,7.2,18.2,68.3
Brack's Kitchen,8.8,0.0,2.9,0.0,88.2
Brake Pad,3.5,2.8,7.7,30.5,55.5
Braves All Star Grill - Downtown,10.2,5.8,11.0,24.9,48.1
Brezza Cucina,9.4,5.8,11.0,21.7,52.1
BrickStone Cafe & Restaurant,9.6,2.7,5.5,15.1,67.1
Brklyn Kitchen & Lounge (Hookah Lounge),16.1,4.3,5.6,12.4,61.5
Brown Bag Seafood Co.,2.5,1.2,2.5,16.2,77.5
Buena Vida Tapas & Sol,2.4,1.5,4.9,13.1,78.2
Buffalo China,14.2,4.4,11.6,23.3,46.5
Buffalo Wild Wings,26.1,8.9,12.0,19.6,33.4
Buffalo Wild Wings 'GO',26.7,6.7,0.0,13.3,53.3
Bullpen Rib House,12.1,4.7,11.7,27.1,44.4
Burger Joy,29.4,5.9,10.6,17.6,36.5
Burger King,23.1,9.2,17.2,20.3,30.2
BurgerFi,14.7,4.6,5.5,10.1,65.1
By George,0.0,6.1,9.1,6.1,78.8
CEG Bakery,7.9,2.6,2.6,5.3,81.6
CHE BUTTER JONEZ,5.3,0.0,0.0,2.6,92.1
CJ Buffalo,7.4,6.2,28.4,22.2,35.8
CO,5.9,5.9,6.7,18.3,63.0
CRU Hookah Lounge,2.5,1.7,2.5,16.5,76.7
CZ SMOKEZ BBQ,6.4,5.5,8.3,11.9,67.9
Cafe,0.0,0.0,0.0,0.0,100.0
Cafe 200,25.0,0.0,0.0,25.0,50.0
Cafe 458,4.7,1.2,0.0,11.6,82.6
Cafe Alsace,1.3,1.7,1.0,12.1,83.8
Cafe At Pharr,7.8,2.3,7.0,16.4,66.4
Cafe Bistro,11.4,8.6,8.6,11.4,60.0
Cafe Circa,11.5,7.3,12.0,27.5,41.7
Cafe Intermezzo,12.5,12.5,25.0,25.0,25.0
Cafe Kulture,0.0,2.3,2.3,9.1,86.4
Cafe Shekel,10.1,6.7,9.2,19.3,54.6
Cafe Social House,6.9,3.3,5.6,13.5,70.6
Café Aquaria,69.7,9.1,6.1,3.0,12.1
Café Lapin,5.3,2.7,6.7,22.0,63.3
Café Lily,3.8,1.7,6.2,25.1,63.3
California Mart,14.3,0.0,14.3,0.0,71.4
Callie's Hot Little Biscuit,7.1,5.8,10.6,19.5,57.1
Cameli's Pizza,4.4,3.8,9.1,26.2,56.5
Canopy Court,0.0,0.0,0.0,50.0,50.0
Capital City Club,0.0,2.4,8.4,10.8,78.3
Carolyn's Gourmet Cafe,3.8,3.8,20.3,27.8,44.3
Carrabba's Italian Grill,7.2,4.9,9.6,28.6,49.7
Carroll Street Cafe,1.8,1.5,3.9,24.4,68.3
Carver's Country Kitchen,0.0,0.0,0.0,66.7,33.3
Catch 12,7.7,5.3,12.4,24.5,50.2
Chai Peking Chinese Restaurant,4.2,3.1,9.4,20.8,62.5
Chairs Upstairs Bar and Restaurant,4.0,2.7,9.3,24.0,59.9
Champs Chicken,0.0,8.3,8.3,33.3,50.0
Chanterelle's,0.0,7.7,0.0,23.1,69.2
Chappie Daddy's BBQ,0.0,0.0,0.0,0.0,100.0
Char Korean Bar & Grill,6.1,6.1,8.0,21.1,58.6
Chattahoochee Food Works,0.0,7.2,7.2,26.1,59.4
"CheeZies Pizza Atlanta, GA",14.3,0.0,42.9,28.6,14.3
Cheetah Lounge/ Alluvia Restaurant,22.1,5.2,10.5,12.8,49.4
Chef Chen,12.0,4.7,5.7,15.6,62.0
Chef’d Up Atl,20.4,11.1,9.3,14.8,44.4
Chic Restaurant & Lounge,4.8,0.0,9.5,19.0,66.7
Chic-A-Loes,4.9,3.2,7.3,23.4,61.2
Chicago Pizza & Sports Grille,4.0,3.3,8.4,25.0,59.3
Chick-a-Biddy,15.0,10.5,17.0,22.5,35.0
Chick-fil-A,9.4,4.0,9.2,18.5,58.8
Chili's Bar & Grill,19.7,12.1,15.9,19.7,32.6
Chili's Grill & Bar,14.6,8.7,14.7,23.2,38.8
Chin Chin at Howell Mill,10.0,6.0,12.6,21.3,50.1
China Express,12.4,6.6,8.3,25.6,47.1
China Moon Restaurant,17.6,5.6,6.4,24.8,45.6
China Taste,14.8,6.3,4.2,15.5,59.2
Chops & Lobster Bar,2.3,2.7,5.3,13.9,75.7
Chopt Creative Salad Co.,13.8,6.2,9.7,12.3,57.9
Chris' Caribbean Bistro,4.5,3.5,7.7,16.1,68.1
Cinco Mexican Cantina,6.8,7.1,10.2,26.6,49.3
CinéBistro,4.0,4.7,9.5,20.0,61.9
Circle Poke,1.8,0.6,3.6,9.7,84.2
Cirque Blu Seafood House,39.2,6.4,7.6,5.3,41.5
Cirque Daiquiri Bar & Grill,18.4,6.8,13.1,20.5,41.3
City Garden,57.1,0.0,28.6,0.0,14.3
City View Cafe,0.0,0.0,0.0,0.0,100.0
City Winery,17.4,11.4,12.5,17.6,41.1
Clean Juice,5.1,5.1,1.7,11.9,76.3
Clean Start Cleansing Atlanta,3.0,3.0,3.0,6.0,85.1
Clifton Cafe,25.0,0.0,12.5,25.0,37.5
Cold Beer,5.3,9.7,2.7,15.0,67.3
Cold Brew Bar at Atlanta Dairies,0.5,1.4,4.1,11.5,82.5
Community Q BBQ,2.1,2.1,4.1,18.3,73.4
Condesa Coffee,2.6,1.6,6.8,21.7,67.4
Continent Restaurant & Cigar Lounge,6.8,0.0,4.5,6.8,81.8
Cook Out,5.8,4.7,12.6,26.6,50.3
Cooks & Soldiers,1.3,1.8,3.3,13.4,80.1
Copeland's of New Orleans,5.1,3.7,8.8,23.0,59.5
Copper Cove Bistro,11.7,4.6,10.2,14.8,58.7
Coq et Oeufs,25.0,0.0,0.0,0.0,75.0
Cory’s spot,7.1,0.0,7.1,0.0,85.7
Courthouse Cafe,6.2,6.2,0.0,9.4,78.1
Cousin's Maine Lobster,11.2,8.3,8.8,19.5,52.2
